exercise_id,exercise_name,description,target_muscle_group,difficulty_level,equipment_needed,exercise_category,estimated_calories_per_min,default_duration_seconds,source
16,Wheel:  Jack-Knife,"Bend hips and knees, pulling legs under body. Pull bent knees toward chest, allowing rear end to raise upward. Return by extending hips and knees to original position. Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
17,Wheel:  Pike,"From plank position, raise rear end up as high as possible by bending hips. Pullpower wheeltoward hands while keeping knees straight. Return by extending hips to original position.   Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
18,Wheel:  Rollout,"With arms straight, roll wheel out as far as possible. Lower body gently to floor extending arms forward. Raise body back up by flexing hips and pulling arms back to original position. Return until hips are extended. Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
19,Scissors Jump,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout.",quadriceps,advanced,bodyweight,plyometrics,5.0,60,mega_dataset
20,Single-Leg Squat With Knee Tap,"The single-leg knee-tap squat is a single-leg squat variation that involves “floating” the back leg over the ground on the descent until touching just the knee to the ground or a pad. It is similar to a lunge, but without touching the back foot to the ground. It is an intense strength and coordination challenge that can work in any strength- or athleticism-focused workout.",quadriceps,advanced,bodyweight,strength,5.0,60,mega_dataset
21,Squat Isometric Hold,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",quadriceps,advanced,bodyweight,plyometrics,5.0,60,mega_dataset
22,Pike Press (between benches),Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,shoulder,advanced,bodyweight,strength,5.0,60,gym_dataset
23,Pike Press (between benches):  Elevated (between benches),Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,shoulder,advanced,bodyweight,strength,5.0,60,gym_dataset
24,Rear Delt Inverted Row (high bar),"Lower body while keeping body straight, elbows high, and upper arms perpendicular to torso, until arms are extended straight. Pull shoulders toward bar while keeping elbows up high until upper arms are parallel to one another, or just beyond. Repeat.",shoulder,advanced,bodyweight,strength,5.0,60,gym_dataset
25,Rear Delt Inverted Row (on hips),"Keeping hips on floor, low back straight, and elbow pointed out to sides; pull torso up to bar. Return when upper arms are just beyond parallel to one another. Lower body downward until arms are extended straight. Return and repeat.",shoulder,advanced,bodyweight,strength,5.0,60,gym_dataset
26,Glute-Ham Raise,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.",thighs,advanced,bodyweight,strength,5.0,60,gym_dataset
27,Glute-Ham Raise:  hands behind hips,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.",thighs,advanced,bodyweight,strength,5.0,60,gym_dataset
28,Single Leg Hanging Hamstring Bridge,"From upright position, lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Repeat.",thighs,advanced,bodyweight,strength,5.0,60,gym_dataset
29,Single Leg Squat:  Box,Squat down as far as possible while keeping leg elevated off of floor. Keep back as straight as possible and supporting knee pointed same direction as foot supporting. Raise body back up to original position until knee and hip of supporting leg is straight. Repeat and continue with opposite leg.,thighs,advanced,bodyweight,strength,5.0,60,gym_dataset
30,Triceps Dip,Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,upper_arms,advanced,bodyweight,strength,5.0,60,gym_dataset
31,Butt-Ups,"A beginner-friendly abdominals exercise. Perform the movement with controlled form, focusing on proper technique. Engage your abdominals throughout each repetition.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
32,Cross Crunch,"Lie on your back with hands behind your head. Bring your right elbow toward your left knee while extending your right leg. Alternate sides in a controlled, cycling motion, engaging your abdominals throughout.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
33,Crunch - Hands Overhead,Lie on your back with arms extended overhead. Contract your abdominals to lift your shoulders off the ground while keeping arms straight. Lower back down with control.,abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
34,Full Moon,"A beginner-friendly abdominals exercise. Perform the movement with controlled form, focusing on proper technique. Engage your abdominals throughout each repetition.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
35,Gorilla Chin/Crunch,"Lie on your back with knees bent and feet flat. Contract your abdominals to lift your shoulders and upper back off the ground. Lower back down with control, maintaining tension in your core.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
36,Hanging knee raise with manual resistance,"The hanging knee raise with manual resistance is a more advanced version of the hanging knee raise that utilizes a partner. The partner applies enough resistance to make the movement more difficult, while still allowing the lifter to perform multiple reps.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
37,Hanging leg raise with throw down,"The hanging leg raise with throw down is a more advanced version of the hanging knee raise that utilizes a partner to make the movement more difficult. The partner pushes down at the top of each rep, forcing the lifter to ""fight back"" with their abs.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
38,Janda Sit-Up,Lie on your back with knees bent and feet secured. Contract your abdominals to lift your entire torso up to a sitting position. Lower back down with control and repeat.,abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
39,Leg Pull-In,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. It’s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
40,Partner lying leg raise with lateral throw down,The partner lying leg raise with lateral throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down at a lateral angle. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
41,Partner lying leg raise with throw down,The partner lying leg raise with throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
42,Partner sit-up with high-five,The partner sit-up with high-five is a full-body exercise targeting the core. Partners each perform a sit-up and high-five each other mid rep.,abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
43,Partner target sit-up,"The partner target sit-up is a core exercise where one partner performs sit-ups, while the other uses his or her hands to create a target for them to reach for. This increases the challenge of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
44,Stomach Vacuum,"Move slowly into the stretch position, targeting your abdominals. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",abdominals,beginner,bodyweight,stretching,5.0,60,mega_dataset
45,Suspended Crunch,"Lie on your back with knees bent and feet flat. Contract your abdominals to lift your shoulders and upper back off the ground. Lower back down with control, maintaining tension in your core.",abdominals,beginner,bodyweight,strength,5.0,60,mega_dataset
46,Fire Hydrant,"Start on all fours with hands under shoulders. Keeping your knee bent at 90 degrees, lift your leg out to the side until your thigh is parallel to the ground. Lower back down with control, targeting your abductors.",abductors,beginner,bodyweight,strength,5.0,60,mega_dataset
47,Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",abductors,beginner,bodyweight,stretching,5.0,60,mega_dataset
48,Standing Hip Circles,"Move slowly into the stretch position, targeting your abductors. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",abductors,beginner,bodyweight,stretching,5.0,60,mega_dataset
49,Groiners,"Move slowly into the stretch position, targeting your adductors. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",adductors,beginner,bodyweight,stretching,5.0,60,mega_dataset
50,Side Leg Raises,"Position yourself securely. Raise your legs by flexing your hips while keeping them as straight as possible. Lower with control, engaging your adductors throughout the movement.",adductors,beginner,bodyweight,stretching,5.0,60,mega_dataset
51,Inverted Shrug,Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,back,beginner,bodyweight,strength,5.0,60,gym_dataset
52,Seated Biceps,"Move slowly into the stretch position, targeting your biceps. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",biceps,beginner,bodyweight,stretching,5.0,60,mega_dataset
53,Knee Circles,"Move slowly into the stretch position, targeting your calves. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",calves,beginner,bodyweight,stretching,5.0,60,mega_dataset
54,Reverse Calf Raise,Pull forefoot of both feet up toward body as far as possible. Return by extending feet until toes are pointed downward. Repeat.,calves,beginner,bodyweight,strength,5.0,60,gym_dataset
55,Standing Calf Raise,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,calves,beginner,bodyweight,strength,5.0,60,gym_dataset
56,Clapping Push-Up,"Also known as a plyo push-up, the clapping push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",chest,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
57,Clock push-up,"The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and shoulders, but adds an endurance and core challenge to traditional push-ups.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
58,Close-Hands Push-Up,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
59,Hands-elevated push-up,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
60,Isometric Chest Squeezes,An explosive plyometric exercise targeting your chest. Perform the movement with maximum power and speed. Land softly with bent knees to absorb impact and protect your joints.,chest,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
61,Isometric Wipers,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,chest,beginner,bodyweight,strength,5.0,60,mega_dataset
62,Judo push-up,"The judo push-up is an advanced push-up variation that blends elements of the yoga poses downward- and upward-facing dog. This movement increases the demands on the shoulders, but also has mobility benefits. It can work in a dynamic warm-up or mobility-focused workout, but also in bodyweight strength training.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
63,One-Arm Push-Up,"Start in a plank position with hands under shoulders. Lower your chest toward the ground by bending your elbows. Push back up to starting position, keeping your body straight and engaging your chest.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
64,Plyo push-up,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",chest,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
65,Push-Up Wide,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
66,Push-up,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",chest,beginner,bodyweight,strength,5.0,60,gym_dataset
67,Push-up:  Incline,"Keeping body straight, lower chest to edge of box or platform by bending arms. Push body up until arms are extended. Repeat.",chest,beginner,bodyweight,strength,5.0,60,gym_dataset
68,Push-up:  on knees,"Keeping body straight and knees bent, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",chest,beginner,bodyweight,strength,5.0,60,gym_dataset
69,Reverse-grip hands-elevated push-up,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
70,Side-to-side push-up,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,chest,beginner,bodyweight,strength,5.0,60,mega_dataset
71,Single-Arm Push-Up,"Start in a plank position with hands under shoulders. Lower your chest toward the ground by bending your elbows. Push back up to starting position, keeping your body straight and engaging your chest.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
72,Staggered push-up,"The staggered push-up is a variation of the push-up exercise where your hand position is staggered, with one hand forward and one back. It targets the same muscles as a traditional push-up, including the chest, triceps, and shoulders, but is more difficult to the rear arm and core.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
73,Superman Push-Up,"Start in a plank position with hands under shoulders. Lower your chest toward the ground by bending your elbows. Push back up to starting position, keeping your body straight and engaging your chest.",chest,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
74,Tiger-bend push-up,The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.,chest,beginner,bodyweight,strength,5.0,60,mega_dataset
75,Triple Clap Push-Up,"Start in a plank position with hands under shoulders. Lower your chest toward the ground by bending your elbows. Push back up to starting position, keeping your body straight and engaging your chest.",chest,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
76,Typewriter push-up,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,chest,beginner,bodyweight,strength,5.0,60,mega_dataset
77,Wide push-up,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
78,Wide-grip hands-elevated push-up,"The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra width also puts more emphasis on the chest muscles. It can be used as a substitute for wide-grip floor push-ups, or as a mechanical dropset after maxing out on floor push-ups.",chest,beginner,bodyweight,strength,5.0,60,mega_dataset
79,Wrist Circles,"Move slowly into the stretch position, targeting your forearms. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",forearms,beginner,bodyweight,stretching,5.0,60,mega_dataset
80,Glute Kickback,"A beginner-friendly glutes exercise. Perform the movement with controlled form, focusing on proper technique. Engage your glutes throughout each repetition.",glutes,beginner,bodyweight,strength,5.0,60,mega_dataset
81,Lying Glute,"Move slowly into the stretch position, targeting your glutes. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",glutes,beginner,bodyweight,stretching,5.0,60,mega_dataset
82,Neck Bridge Supine,"Lie on your back with knees bent and feet flat. Push through your heels to lift your hips off the ground, forming a straight line from knees to shoulders. Squeeze your glutes at the top, then lower with control.",glutes,beginner,bodyweight,strength,5.0,60,mega_dataset
83,Seated Glute,"Move slowly into the stretch position, targeting your glutes. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",glutes,beginner,bodyweight,stretching,5.0,60,mega_dataset
84,Seated Glute Stretch,"Move slowly into the stretch position, targeting your glutes. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",glutes,beginner,bodyweight,stretching,5.0,60,mega_dataset
85,Standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.,glutes,beginner,bodyweight,strength,5.0,60,mega_dataset
86,90/90 Hamstring,"Move slowly into the stretch position, targeting your hamstrings. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
87,Alternating Leg Swing,"Move slowly into the stretch position, targeting your hamstrings. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
88,High Kick,"Move slowly into the stretch position, targeting your hamstrings. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
89,Hip Stretch With Twist,"Move slowly into the stretch position, targeting your hamstrings. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
90,Inchworm,The inchworm is a popular bodyweight exercise that involves “walking” the hands on the floor from a bent-over toe-touch position into a straight-arm plank. It is usually performed as part of a dynamic warm-up to help raise core body temperature and “limber up” the body from head to toe.,hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
91,Knee To Chest,"Move slowly into the stretch position, targeting your hamstrings. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
92,Natural Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,hamstrings,beginner,bodyweight,strength,5.0,60,mega_dataset
93,Single-leg balance and reach,The single-leg balance and reach is an exercise that focuses on lower-body strength and stability.,hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
94,Standing leg swing,"The standing leg swing is a dynamic stretching exercise that involves moving one leg up in front of you, as if to punt an imaginary football. This is a classic move for warming up the body and stretching the hamstrings.",hamstrings,beginner,bodyweight,stretching,5.0,60,mega_dataset
95,"Leg Raises:  Lying Leg Raise

Alternating
on floor",Raise legs by flexing hips and knees until thighs are completely flexed. Return until hips and knees are extended. Repeat.,hips,beginner,bodyweight,strength,5.0,60,gym_dataset
96,Leg Raises:  Seated Leg Raise,Raise legs by flexing hips and knees while pulling torso slightly forward to maintain balance. Return by extending hips and knees and lean torso back to counter balance. Repeat.,hips,beginner,bodyweight,strength,5.0,60,gym_dataset
97,Wide-Grip Rear Pull-Up,"Hang from a pull-up bar with an overhand grip. Pull your body up until your chin clears the bar. Lower yourself back down with control, maintaining tension in your lats.",lats,beginner,bodyweight,strength,5.0,60,mega_dataset
98,Hyperextensions With No Hyperextension Bench,"A beginner-friendly lower_back exercise. Perform the movement with controlled form, focusing on proper technique. Engage your lower_back throughout each repetition.",lower_back,beginner,bodyweight,strength,5.0,60,mega_dataset
99,Partner Superman with alternating high-five,"The partner Superman with alternating high-five is an exercise in which both partners perform isometric holds for reps, high-fiving each other in between. It targets the muscles of the posterior chain, including the muscles of the glutes, spinal erectors, and upper back. It can be performed as part of a dynamic warm-up, or as part of a core or back-focused workout or finisher.",lower_back,beginner,bodyweight,strength,5.0,60,mega_dataset
100,Isometric Neck Exercise - Front And Back,"A beginner-friendly neck exercise. Perform the movement with controlled form, focusing on proper technique. Engage your neck throughout each repetition.",neck,beginner,bodyweight,strength,5.0,60,mega_dataset
101,Isometric Neck Exercise - Sides,"A beginner-friendly neck exercise. Perform the movement with controlled form, focusing on proper technique. Engage your neck throughout each repetition.",neck,beginner,bodyweight,strength,5.0,60,mega_dataset
102,Lying Neck Retraction,Push head into mat and hold position. Relax and repeat.,neck,beginner,bodyweight,strength,5.0,60,gym_dataset
103,Neck Bridge Prone,"Lie on your back with knees bent and feet flat. Push through your heels to lift your hips off the ground, forming a straight line from knees to shoulders. Squeeze your neck at the top, then lower with control.",neck,beginner,bodyweight,strength,5.0,60,mega_dataset
104,Alien Squat,"Stand with feet shoulder-width apart. Lower your body by bending your knees and hips as if sitting back into a chair. Push through your heels to return to standing, engaging your quadriceps.",quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
105,All Fours Quad Stretch,"Move slowly into the stretch position, targeting your quadriceps. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",quadriceps,beginner,bodyweight,stretching,5.0,60,mega_dataset
106,Defensive Slide,A cardiovascular exercise that elevates your heart rate while engaging your quadriceps. Maintain a steady rhythm and controlled breathing throughout the movement.,quadriceps,beginner,bodyweight,cardio,5.0,60,mega_dataset
107,Fast Kick With Arm Circles,A cardiovascular exercise that elevates your heart rate while engaging your quadriceps. Maintain a steady rhythm and controlled breathing throughout the movement.,quadriceps,beginner,bodyweight,cardio,5.0,60,mega_dataset
108,Football Up-Down,A cardiovascular exercise that elevates your heart rate while engaging your quadriceps. Maintain a steady rhythm and controlled breathing throughout the movement.,quadriceps,beginner,bodyweight,cardio,5.0,60,mega_dataset
109,Lying Prone Quadriceps,"Move slowly into the stretch position, targeting your quadriceps. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",quadriceps,beginner,bodyweight,stretching,5.0,60,mega_dataset
110,Rear Leg Raises,"Position yourself securely. Raise your legs by flexing your hips while keeping them as straight as possible. Lower with control, engaging your quadriceps throughout the movement.",quadriceps,beginner,bodyweight,stretching,5.0,60,mega_dataset
111,Reverse Burpee,"Start standing, drop into a squat and place hands on the ground. Jump feet back into a plank, perform a push-up, jump feet back to hands, then explosively jump up. This full-body exercise intensely works your quadriceps.",quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
112,Rocket Jump,"Perform an explosive jumping movement, engaging your quadriceps. Land softly with bent knees to absorb impact. Maintain good form throughout the plyometric exercise.",quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
113,Slide Jump Shot,"Perform an explosive jumping movement, engaging your quadriceps. Land softly with bent knees to absorb impact. Maintain good form throughout the plyometric exercise.",quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
114,Slow Jog,A cardiovascular exercise that elevates your heart rate while engaging your quadriceps. Maintain a steady rhythm and controlled breathing throughout the movement.,quadriceps,beginner,bodyweight,cardio,5.0,60,mega_dataset
115,Square Hop,An explosive plyometric exercise targeting your quadriceps. Perform the movement with maximum power and speed. Land softly with bent knees to absorb impact and protect your joints.,quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
116,Star Jump,"Perform an explosive jumping movement, engaging your quadriceps. Land softly with bent knees to absorb impact. Maintain good form throughout the plyometric exercise.",quadriceps,beginner,bodyweight,plyometrics,5.0,60,mega_dataset
117,Vertical Mountain Climber,"Start in a plank position. Drive one knee toward your chest, then quickly switch legs in a running motion. Keep your core tight and maintain a steady rhythm, engaging your quadriceps.",quadriceps,beginner,bodyweight,cardio,5.0,60,mega_dataset
118,Seated Front Deltoid,"Move slowly into the stretch position, targeting your shoulders. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",shoulders,beginner,bodyweight,stretching,5.0,60,mega_dataset
119,Overhead Triceps,"Move slowly into the stretch position, targeting your triceps. Hold the stretch for 20-30 seconds, breathing deeply. You should feel a gentle pull but no pain. Release slowly and repeat as needed.",triceps,beginner,bodyweight,stretching,5.0,60,mega_dataset
120,Standing Towel Triceps Extension,"A beginner-friendly triceps exercise. Perform the movement with controlled form, focusing on proper technique. Engage your triceps throughout each repetition.",triceps,beginner,bodyweight,strength,5.0,60,mega_dataset
121,Bench Dip:  heel on floor,"Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise your body and repeat.",upper_arms,beginner,bodyweight,strength,5.0,60,gym_dataset
122,Close Grip Push-up:  on knees,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",upper_arms,beginner,bodyweight,strength,5.0,60,gym_dataset
123,3/4 sit-up,"The 3/4 sit-up is a bodyweight exercise focused on the muscles of the core. It is similar to a sit-up, but stops short of the top position. This keeps constant tension on the abs, making it more difficult than traditional sit-ups. It can be performed for time or for reps, with the feet anchored or free, as part of the ab-focused portion of any workout.",abdominals,intermediate,bodyweight,strength,5.0,60,mega_dataset
